128 0.085 0.005
64 0.088 0.006
56 0.09 0.006
48 0.094 0.005
40 0.099 0.003
36 0.107 0.005
32 0.127 0.007
28 0.178 0.008
24 0.223 0.008
20 0.297 0.01
16 0.4 0.01
