128 0.2 0.01 0.0 0.0
64 0.3 0.1 -0.0012 0.0003
56 0.26 0.07 -0.0018 0.0006
48 0.23 0.04 -0.005 0.002
40 0.24 0.02 -0.024 0.002
36 0.24 0.03 -0.062 0.005
32 0.25 0.03 -0.104 0.006
28 0.28 0.03 -0.157 0.01
24 0.29 0.03 -0.212 0.009
20 0.35 0.02 -0.302 0.009
16 0.41 0.03 -0.37 0.01
