128 0.151 0.006 -0.0 0.0001
64 0.2 0.1 -0.004 0.004
56 0.18 0.01 -0.006 0.002
48 0.19 0.02 -0.017 0.005
40 0.21 0.02 -0.042 0.009
36 0.23 0.02 -0.07 0.01
32 0.25 0.03 -0.12 0.01
28 0.26 0.03 -0.17 0.02
24 0.28 0.03 -0.21 0.01
20 0.34 0.03 -0.3 0.02
16 0.38 0.03 -0.36 0.02
